Match_Number,Series,Date,Day,Time,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Result,Player_of_the_Match,Umpires,Third_Umpire,Match_Referee,Team1_Score,Team1_Total_Runs,Team1_Wickets,Team1_Overs,Team1_Extras,Team1_Byes,Team1_Leg_Byes,Team1_Wides,Team1_No_Balls,Team1_Powerplay_Runs,Team1_Powerplay_Overs,Team1_Top_Scorer,Team1_Top_Wicket_Taker,Team1_Fours,Team1_Sixes,Team1_Playing_XI,Team1_Coach,Team2_Score,Team2_Total_Runs,Team2_Wickets,Team2_Overs,Team2_Extras,Team2_Byes,Team2_Leg_Byes,Team2_Wides,Team2_No_Balls,Team2_Powerplay_Runs,Team2_Powerplay_Overs,Team2_Top_Scorer,Team2_Top_Wicket_Taker,Team2_Fours,Team2_Sixes,Team2_Playing_XI,Team2_Coach
1st Match,United Arab Emirates T20I Tri-Series 2025,2025-08-29,Friday,6:30 PM,"Sharjah Cricket Stadium, Sharjah",Pakistan,Afghanistan,Pakistan,bat,Pakistan won by 39 runs,Salman Agha,"Shiju Sam, Akbar Ali",Asif Iqbal,Ali Naqvi,182/7 (20),182,7,20.0,15,4,6,4,1,54,0.1-6,Salman Agha (53*),Haris Rauf (4/14),11,9,"Sahibzada Farhan, Saim Ayub, Fakhar Zaman, Salman Agha (c), Hasan Nawaz, Mohammad Haris (wk), Mohammad Nawaz, Faheem Ashraf, Shaheen Afridi, Haris Rauf, Sufiyan Muqeem",Azhar Mahmood,143/10 (19.5),143,10,19.5,4,0,1,3,0,50,0.1-6,Rahmanullah Gurbaz (38),Fareed Ahmad (2/21),7,9,"Rahmanullah Gurbaz (wk), Ibrahim Zadran, Sediqullah Atal, Darwish Rasooli, Azmatullah Omarzai, Mohammad Nabi, Karim Janat, Rashid Khan (c), Mujeeb Ur Rahman, Fazalhaq Farooqi, Fareed Ahmad Malik",Jonathan Trott
2nd Match,United Arab Emirates T20I Tri-Series 2025,2025-08-30,Saturday,6:30 PM,"Sharjah Cricket Stadium, Sharjah",UAE,Pakistan,Pakistan,bat,Pakistan won by 31 runs,Saim Ayub,"Aasif Iqbal, Shiju Sam",Akbar Ali,Ali Naqvi,176/8 (20),176,8,20.0,9,0,0,9,0,54,0.1-6,Alishan Sharafu (68),Junaid Siddique (3/49),15,6,"Muhammad Zohaib, Muhammad Waseem (c), Asif Khan, Alishan Sharafu, Rahul Chopra (wk), Ethan DSouza, Dhruv Parashar, Saghir Khan, Haider Ali, Junaid Siddique, Muhammad Jawadullah",Ahmed Raza,207/10 (20),207,10,20.0,9,0,4,5,0,51,0.1-6,Saim Ayub (69),Hasan Ali (3/47),18,10,"Sahibzada Farhan, Saim Ayub, Fakhar Zaman, Salman Agha (c), Hasan Nawaz, Mohammad Nawaz, Mohammad Haris (wk), Faheem Ashraf, Hasan Ali, Salman Mirza, Sufiyan Muqeem",Azhar Mahmood
3rd Match,United Arab Emirates T20I Tri-Series 2025,2025-09-01,Monday,6:30 PM,"Sharjah Cricket Stadium, Sharjah",UAE,Afghanistan,UAE,bowl,Afghanistan won by 38 runs,Sharafuddin Ashraf,"Aasif Iqbal, Akbar Ali",Shiju Sam,Ali Naqvi,150/8 (20),150,8,20.0,3,0,0,3,0,66,0.1-6,Rahul Chopra (52*),Rashid Khan (3/21),12,5,"Muhammad Zohaib, Muhammad Waseem (c), Asif Khan, Rahul Chopra (wk), Ethan DSouza, Harshit Kaushik, Dhruv Parashar, Saghir Khan, Haider Ali, Muhammad Rohid Khan, Junaid Siddique",Ahmed Raza,188/4 (20),188,4,20.0,11,0,2,9,0,43,0.1-6,Ibrahim Zadran (63),Saghir Khan (2/52),15,8,"Rahmanullah Gurbaz (wk), Ibrahim Zadran, Sediqullah Atal, Darwish Rasooli, Karim Janat, Azmatullah Omarzai, Rashid Khan (c), Mohammad Nabi, Sharafuddin Ashraf, Mujeeb Ur Rahman, Fazalhaq Farooqi",Jonathan Trott
4th Match,United Arab Emirates T20I Tri-Series 2025,2025-09-02,Tuesday,6:30 PM,"Sharjah Cricket Stadium, Sharjah",Pakistan,Afghanistan,Afghanistan,bat,Afghanistan won by 18 runs,Ibrahim Zadran,"Asif Iqbal, Akbar Ali",Shiju Sam,Ali Naqvi,151/9 (20),151,9,20.0,11,4,2,5,0,52,0.1-6,Haris Rauf (34*),Faheem Ashraf (4/27),10,5,"Sahibzada Farhan, Saim Ayub, Fakhar Zaman, Salman Agha (c), Hasan Nawaz, Mohammad Nawaz, Mohammad Haris (wk), Faheem Ashraf, Shaheen Afridi, Haris Rauf, Sufiyan Muqeem",Azhar Mahmood,169/5 (20),169,5,20.0,6,0,2,4,0,34,0.1-6,Ibrahim Zadran (65),Noor Ahmad (2/20),14,7,"Rahmanullah Gurbaz (wk), Sediqullah Atal, Ibrahim Zadran, Darwish Rasooli, Azmatullah Omarzai, Karim Janat, Mohammad Nabi, Rashid Khan (c), AM Ghazanfar, Noor Ahmad, Fazalhaq Farooqi",Jonathan Trott
5th Match,United Arab Emirates T20I Tri-Series 2025,2025-09-04,Thursday,6:30 PM,"Sharjah Cricket Stadium, Sharjah",Pakistan,UAE,Pakistan,bat,Pakistan won by 31 runs,Abrar Ahmed,"Akbar Ali, Shiju Sam",Aasif Iqbal,Ali Naqvi,171/5 (20),171,5,20.0,5,1,2,2,0,50,0.1-6,Fakhar Zaman (77*),Abrar Ahmed (4/9),15,7,"Sahibzada Farhan, Saim Ayub, Fakhar Zaman, Salman Agha (c), Hasan Nawaz, Mohammad Nawaz, Mohammad Haris (wk), Faheem Ashraf, Shaheen Afridi, Salman Mirza, Abrar Ahmed",Azhar Mahmood,140/7 (20),140,7,20.0,4,0,2,2,0,41,0.1-6,Alishan Sharafu (68),Junaid Siddique (2/52),12,5,"Muhammad Waseem (c), Asif Khan, Alishan Sharafu, Rahul Chopra (wk), Ethan DSouza, Harshit Kaushik, Dhruv Parashar, Haider Ali, Muhammad Jawadullah, Muhammad Rohid Khan, Junaid Siddique",Ahmed Raza
6th Match,United Arab Emirates T20I Tri-Series 2025,2025-09-05,Friday,6:30 PM,"Sharjah Cricket Stadium, Sharjah",Afghanistan,UAE,Afghanistan,bat,Afghanistan won by 4 runs,Ibrahim Zadran,"Aasif Iqbal, Shiju Sam",Akbar Ali,Ali Naqvi,170/4 (20),170,4,20.0,15,1,1,13,0,40,0.1-6,Ibrahim Zadran (48),Fareed Ahmad (3/35),17,8,"Rahmanullah Gurbaz (wk), Ibrahim Zadran (c), Gulbadin Naib, Azmatullah Omarzai, Karim Janat, Sharafuddin Ashraf, Mohammad Ishaq, Mujeeb Ur Rahman, Noor Ahmad, Fareed Ahmad Malik, Abdullah Ahmadzai",Jonathan Trott,166/5 (20),166,5,20.0,10,0,3,7,0,54,0.1-6,Asif Khan (40),Muhammad Farooq (1/36),15,6,"Muhammad Waseem (c), Muhammad Zohaib, Asif Khan, Alishan Sharafu, Rahul Chopra (wk), Harshit Kaushik, Haider Ali, Muhammad Farooq, Muhammad Rohid Khan, Junaid Siddique, Simranjeet Singh",Ahmed Raza
Final,United Arab Emirates T20I Tri-Series 2025,2025-09-07,Sunday,6:30 PM,"Sharjah Cricket Stadium, Sharjah",Pakistan,Afghanistan,Pakistan,bat,Pakistan won by 75 runs,Mohammad Nawaz,"Shiju Sam, Aasif Iqbal",Akbar Ali,Ali Naqvi,141/8 (20),141,8,20.0,14,2,5,7,0,41,0.1-6,Fakhar Zaman (27),Mohammad Nawaz (5/19),10,4,"Sahibzada Farhan, Saim Ayub, Fakhar Zaman, Salman Agha (c), Hasan Nawaz, Mohammad Nawaz, Mohammad Haris (wk), Faheem Ashraf, Shaheen Afridi, Sufiyan Muqeem, Abrar Ahmed",Azhar Mahmood,66/10 (15.5),66,10,15.5,7,1,3,3,0,29,0.1-6,Rashid Khan (17),Rashid Khan (3/38),5,2,"Rahmanullah Gurbaz (wk), Ibrahim Zadran, Sediqullah Atal, Darwish Rasooli, Karim Janat, Azmatullah Omarzai, Rashid Khan (c), Mohammad Nabi, AM Ghazanfar, Noor Ahmad, Fazalhaq Farooqi",Jonathan Trott
