Match_Number,Series,Date,Day,Time,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Result,Player_of_the_Match,Match_Referee,Umpires,Third_Umpire,Team1_Score,Team1_Total_Runs,Team1_Wickets,Team1_Overs,Team1_Extras,Team1_Byes,Team1_Leg_Byes,Team1_Wides,Team1_No_Balls,Team1_Powerplay_Runs,Team1_Powerplay_Overs,Team2_Score,Team2_Total_Runs,Team2_Wickets,Team2_Overs,Team2_Extras,Team2_Byes,Team2_Leg_Byes,Team2_Wides,Team2_No_Balls,Team2_Powerplay_Runs,Team2_Powerplay_Overs,Team1_Top_Scorer,Team1_Top_Wicket_Taker,Team2_Top_Scorer,Team2_Top_Wicket_Taker,Team1_Fours,Team1_Sixes,Team2_Fours,Team2_Sixes,Team1_Playing_XI,Team2_Playing_XI,Team1_Coach,Team2_Coach,Team1_Batters,Team2_Batters,Team1_Bowlers,Team2_Bowlers,Team1_Fall_of_Wickets,Team2_Fall_of_Wickets,Match_Format,Tournament_Stage,Group,Win_Margin,Total_Fours,Total_Sixes,Player_of_the_Series
1st T20I,"West Indies vs Nepal in UAE, 2025",2025-09-27,Saturday,6:00 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Nepal,West Indies,West Indies,bowl,Nepal won by 19 runs,Rohit Paudel,Vengalil Narayanan Kutty,"Buddhi Pradhan, Durga Subedi",Vinay Kumar,148/8 (20),148,8,20.0,10,0,0,10,0,34,0.1-6,129/9 (20),129,9,20.0,5,0,0,4,1,40,0.1-6,Rohit Paudel (38),Navin Bidaisee (3/29),Kyle Mayers (58),Jason Holder (4/20),6,7,12,6,"Kushal Bhurtel, Aasif Sheikh (wk), Rohit Paudel (c), Sundeep Jora, Dipendra Singh Airee, Kushal Malla, Karan KC, Gulsan Jha, Sompal Kami, Nandan Yadav, Lalit Rajbanshi","Kyle Mayers, Ackeem Auguste, Keacy Carty, Amir Jangoo (wk), Jewel Andrew, Jason Holder, Fabian Allen, Akeal Hosein (c), Navin Bidaisee, Obed McCoy, Ramon Simmonds",Stuart Law,Daren Sammy,"Bhurtel(6/11/1/0), Sheikh(3/4/0/0), Paudel(38/35/3/1), Malla(30/21/2/2), Jha(22/16/0/2), Airee(17/19/0/1), Jora(9/6/0/1), Kami(6*/5/0/0), Karan(0/1/0/0), Yadav(7*/2/0/1)","Mayers(58/10/6/2), Jangoo(19/22/2/0), Auguste(15/7/0/2), Andrew(5/11/0/0), Carty(16/15/1/1), Bidaisee(22/25/1/1), Holder(5/7/0/0), Allen(19/14/1/1), Hosein(18/9/1/2), McCoy(0*/3/0/0)","Airee(3-0-20-0), Karan(3-0-17-1), Yadav(1-0-6-1), Kami(4-0-43-1), Rajbanshi(2-0-6-1), Paudel(3-0-20-1), Bhurtel(4-0-17-2)","Hosein(4-1-18-1), Holder(4-0-20-4), Simmonds(2-0-25-0), Allen(2-0-19-0), McCoy(4-0-37-0), Bidaisee(4-0-29-3)","8-1(2.1), 12-2(3.1), 70-3(10.4), 89-4(12.4), 119-5(16.5), 135-6(18.3), 136-7(18.5), 136-8(18.6)","5-1(1.2), 32-2(4.5), 47-3(7.4), 53-4(8.5), 68-5(12.2), 76-6(14.1), 94-7(16.3), 121-8(18.3), 129-9(19.6)",T20,Bilateral Series,N/A,19 runs,18,13,
2nd T20I,"West Indies vs Nepal in UAE, 2025",2025-09-29,Monday,6:00 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Nepal,West Indies,Nepal,bat,Nepal won by 90 runs,Aasif Sheikh,Vengalil Narayanan Kutty,"Akbar Ali, Durga Subedi",Buddhi Pradhan,173/6 (20),173,6,20.0,13,0,3,10,0,39,0.1-6,83/10 (17.1),83,10,17.1,7,3,1,3,0,16,0.1-6,Aasif Sheikh (68*),Mohammad Aadil Alam (4/24),Ackeem Auguste (17),Kushal Bhurtel (3/16),8,7,6,3,"Kushal Bhurtel, Aasif Sheikh (wk), Rohit Paudel (c), Kushal Malla, Gulsan Jha, Dipendra Singh Airee, Sundeep Jora, Sompal Kami, Karan KC, Mohammad Aadil Alam, Lalit Rajbanshi","Kyle Mayers, Amir Jangoo (wk), Ackeem Auguste, Jewel Andrew, Keacy Carty, Navin Bidaisee, Jason Holder, Fabian Allen, Akeal Hosein (c), Zishan Motara, Jediah Blades",Stuart Law,Daren Sammy,"Bhurtel(2/4/0/0), Sheikh(68*/47/4/2), Paudel(3/10/0/0), Malla(7/9/1/0), Jora(63/39/3/5), Jha(6/6/0/1), Alam(11/5/0/1)","Andrew(2/11/0/0), Mayers(6/16/1/0), Carty(1/3/0/0), Auguste(17/21/1/1), Jangoo(16/14/1/1), Holder(21/15/2/1), Allen(7/8/0/1), Hosein(0/3/0/0), Bidaisee(2/5/0/0), Motara(3/4/0/0), Blades(1*/3/0/0)","Airee(3-0-4-1), Karan(2-0-3-1), Kami(1-0-8-0), Paudel(2-0-11-0), Alam(4-0-24-4), Bhurtel(2.1-1-16-3), Rajbanshi(3-0-13-1)","Blades(4-0-27-1), Hosein(4-0-21-2), Holder(4-0-39-0), Bidaisee(3-0-28-0), Motara(1-0-13-0), Allen(2-0-16-0), Mayers(2-0-26-2)","10-1(1.2), 14-2(3.3), 43-3(6.4), 143-4(17.4), 158-5(19.1), 173-6(19.6)","4-1(2.2), 5-2(3.2), 23-3(7.3), 38-4(9.5), 63-5(11.5), 74-6(13.2), 74-7(13.5), 79-8(15.5), 81-9(16.2), 83-10(17.1)",T20,Bilateral Series,N/A,90 runs,14,10,
3rd T20I,"West Indies vs Nepal in UAE, 2025",2025-09-30,Tuesday,6:00 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Nepal,West Indies,West Indies,bowl,West Indies won by 10 wickets,Ramon Simmonds,Vengalil Narayanan Kutty,"Buddhi Pradhan, Vinay Kumar",Akbar Ali,122/10 (19.5),122,10,19.5,8,0,1,6,1,37,0.1-6,123/0 (12.2),123,0,12.2,8,0,4,4,0,47,0.1-6,Kushal Bhurtel (39),Ramon Simmonds (4/15),Amir Jangoo (74*),Ramon Simmonds (4/15),10,4,16,5,"Kushal Bhurtel, Kushal Malla, Rohit Paudel (c), Sundeep Jora, Aarif Sheikh, Gulsan Jha, Lokesh Bam (wk), Mohammad Aadil Alam, Sompal Kami, Karan KC, Shahab Alam","Kyle Mayers, Keacy Carty, Ackeem Auguste, Amir Jangoo (wk), Jason Holder, Fabian Allen, Akeal Hosein (c), Karima Gore, Navin Bidaisee, Jediah Blades, Ramon Simmonds",Stuart Law,Daren Sammy,"Bhurtel(39/29/3/2), Malla(12/21/1/0), Paudel(17/19/1/0), Jha(10/12/0/1), Jora(14/15/1/1), A.Sheikh(6/3/1/0), Alam(3/5/0/0), Bam(9/10/1/0), Kami(4/4/1/0), Karan(0/1/0/0), S.Alam(0*/0/0/0)","Jangoo(74*/45/8/4), Auguste(41*/29/4/1)","Paudel(2-0-18-0), Karan(2-0-19-0), Kami(2.2-0-17-0), Alam(2-0-24-0), Bhurtel(2-0-17-0), S.Alam(2-0-24-0)","Mayers(2-0-13-0), Hosein(4-0-26-1), Holder(3-0-19-1), Blades(3.5-0-20-2), Gore(3-0-23-0), Bidaisee(1-0-5-0), Simmonds(3-0-15-4)","41-1(6.6), 60-2(9.5), 75-3(12.2), 84-4(13.5), 91-5(14.3), 105-6(16.2), 109-7(17.1), 118-8(18.4), 118-9(18.5), 122-10(19.5)",N/A (No wickets lost),T20,Bilateral Series,N/A,10 wickets,26,9,Kushal Bhurtel
