Match_Number,Series,Date,Day,Time,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Result,Player_of_the_Match,Umpires,Third_Umpire,Match_Referee,Team1_Score,Team1_Total_Runs,Team1_Wickets,Team1_Overs,Team1_Extras,Team1_Byes,Team1_Leg_Byes,Team1_Wides,Team1_No_Balls,Team1_Powerplay_Runs,Team1_Powerplay_Overs,Team1_Top_Scorer,Team1_Top_Wicket_Taker,Team1_Fours,Team1_Sixes,Team1_Playing_XI,Team1_Coach,Team2_Score,Team2_Total_Runs,Team2_Wickets,Team2_Overs,Team2_Extras,Team2_Byes,Team2_Leg_Byes,Team2_Wides,Team2_No_Balls,Team2_Powerplay_Runs,Team2_Powerplay_Overs,Team2_Top_Scorer,Team2_Top_Wicket_Taker,Team2_Fours,Team2_Sixes,Team2_Playing_XI,Team2_Coach
1,Pakistan T20I Tri-Series 2025,2025-11-18,Tuesday,6:00 PM LOCAL,"Rawalpindi Cricket Stadium, Rawalpindi",Zimbabwe,Pakistan,Pakistan,Field,Pakistan won by 5 wickets,Mohammad Nawaz,"Asif Yaqoob, Rashid Riaz",Faisal Afridi,Reon King,147-8,147,8,20,3,0,0,3,0,59,6,Brian Bennett 49(36),Mohammad Nawaz 2/22,17,2,"Brian Bennett, T Marumani, Brendan Taylor, Ryan Burl, Sikandar Raza, Tony Munyonga, Brad Evans, Tashinga Musekiwa, Graeme Cremer, Tinotenda Maposa, Richard Ngarava",Justin Sammons,151-5,151,5,19.2,10,2,3,3,2,31,6,Fakhar Zaman 44(32),Brad Evans 2/26,11,4,"Sahibzada Farhan, Saim Ayub, Babar Azam, Salman Agha, Usman Khan, Fakhar Zaman, Mohammad Nawaz, Faheem Ashraf, Shaheen Afridi, Salman Mirza, Abrar Ahmed",Mike Hesson
2,Pakistan T20I Tri-Series 2025,2025-11-20,Thursday,6:00 PM LOCAL,"Rawalpindi Cricket Stadium, Rawalpindi",Zimbabwe,Sri Lanka,Sri Lanka,Field,Zimbabwe won by 67 runs,Sikandar Raza,"Faisal Afridi, Rashid Riaz",Asif Yaqoob,Reon King,162-8,162,8,20,4,0,3,0,1,43,6,Brian Bennett 49(42),Brad Evans 3/9,10,4,"Brian Bennett, T Marumani, Brendan Taylor, Ryan Burl, Sikandar Raza, Tony Munyonga, Tashinga Musekiwa, Brad Evans, Tinotenda Maposa, Richard Ngarava, Graeme Cremer",Justin Sammons,95-10,95,10,20.0,12,2,4,6,0,25,6,Dasun Shanaka 34(25),Brad Evans 3/9,4,2,"Pathum Nissanka, Kusal Mendis, Kusal Perera, Bhanuka Rajapaksa, Dasun Shanaka, Kamindu Mendis, Wanindu Hasaranga, Dushmantha Chameera, Maheesh Theekshana, Nuwan Thushara, Eshan Malinga",Sanath Jayasuriya
3,Pakistan T20I Tri-Series 2025,2025-11-22,Saturday,6:00 PM LOCAL,"Rawalpindi Cricket Stadium, Rawalpindi",Sri Lanka,Pakistan,Sri Lanka,Bat,Pakistan won by 7 wickets,Mohammad Nawaz,"Asif Yaqoob, Faisal Afridi",Rashid Riaz,Reon King,128-7,128,7,20,6,1,0,5,0,44,6,Janith Liyanage 41(38),Mohammad Nawaz 3/16,7,4,"Pathum Nissanka, Kusal Mendis, Kamil Mishara, Kusal Perera, Dasun Shanaka, Janith Liyanage, Kamindu Mendis, Wanindu Hasaranga, Dushmantha Chameera, Eshan Malinga, Vijayakanth Viyaskanth",Sanath Jayasuriya,131-3,131,3,15.3,10,0,4,6,0,53,6,Sahibzada Farhan 80(45),Dushmantha Chameera 2/29,10,6,"Saim Ayub, Sahibzada Farhan, Babar Azam, Salman Agha, Fakhar Zaman, Usman Khan, Mohammad Nawaz, Faheem Ashraf, Mohammad Wasim Jr, Salman Mirza, Abrar Ahmed",Mike Hesson
4,Pakistan T20I Tri-Series 2025,2025-11-23,Sunday,6:00 PM LOCAL,"Rawalpindi Cricket Stadium, Rawalpindi",Pakistan,Zimbabwe,Pakistan,Bat,Pakistan won by 69 runs,Usman Tariq,"Faisal Afridi, Rashid Riaz",Asif Yaqoob,Reon King,195-5,195,5,20,10,0,5,4,1,53,6,Babar Azam 74(52),Usman Tariq 4/18,12,10,"Sahibzada Farhan, Saim Ayub, Babar Azam, Salman Agha, Usman Khan, Fakhar Zaman, Mohammad Nawaz, Faheem Ashraf, Mohammad Wasim Jr, Naseem Shah, Usman Tariq",Mike Hesson,126-10,126,10,19.0,4,0,1,2,1,43,6,Ryan Burl 67(49),Usman Tariq 4/18,15,3,"Brian Bennett, T Marumani, Brendan Taylor, Sikandar Raza, Ryan Burl, Tony Munyonga, Tashinga Musekiwa, Brad Evans, Tinotenda Maposa, Richard Ngarava, Wellington Masakadza",Justin Sammons
5,Pakistan T20I Tri-Series 2025,2025-11-25,Tuesday,6:00 PM LOCAL,"Rawalpindi Cricket Stadium, Rawalpindi",Zimbabwe,Sri Lanka,Zimbabwe,Bat,Sri Lanka won by 9 wickets,Pathum Nissanka,"Asif Yaqoob, Rashid Riaz",Ahsan Raza,Reon King,146-5,146,5,20,8,1,4,2,1,44,6,Ryan Burl 37(26),Maheesh Theekshana 2/23,16,3,"Brian Bennett, T Marumani, Dion Myers, Brendan Taylor, Sikandar Raza, Ryan Burl, Tashinga Musekiwa, Wellington Masakadza, Brad Evans, Tinotenda Maposa, Richard Ngarava",Justin Sammons,148-1,148,1,16.2,13,1,2,10,0,64,6,Pathum Nissanka 98(58),Brad Evans 1/36,14,5,"Pathum Nissanka, Kamil Mishara, Kusal Mendis, Kusal Perera, Janith Liyanage, Dasun Shanaka, Pavan Rathnayake, Wanindu Hasaranga, Dushmantha Chameera, Maheesh Theekshana, Eshan Malinga",Sanath Jayasuriya
6,Pakistan T20I Tri-Series 2025,2025-11-27,Thursday,6:00 PM LOCAL,"Rawalpindi Cricket Stadium, Rawalpindi",Sri Lanka,Pakistan,Pakistan,Field,Sri Lanka won by 6 runs,Dushmantha Chameera,"Ahsan Raza, Faisal Afridi",Rashid Riaz,Reon King,184-5,184,5,20,13,1,4,8,0,58,6,Kamil Mishara 76(48),Dushmantha Chameera 4/20,15,5,"Pathum Nissanka, Kamil Mishara, Kusal Mendis, Kusal Perera, Janith Liyanage, Dasun Shanaka, Pavan Rathnayake, Wanindu Hasaranga, Dushmantha Chameera, Maheesh Theekshana, Eshan Malinga",Sanath Jayasuriya,178-7,178,7,20.0,11,2,1,8,0,45,6,Salman Agha 63(44),Dushmantha Chameera 4/20,14,8,"Sahibzada Farhan, Saim Ayub, Babar Azam, Salman Agha, Usman Khan, Fakhar Zaman, Mohammad Nawaz, Faheem Ashraf, Mohammad Wasim Jr, Salman Mirza, Abrar Ahmed",Mike Hesson
7,Pakistan T20I Tri-Series 2025 - FINAL,2025-11-29,Saturday,6:00 PM LOCAL,"Rawalpindi Cricket Stadium, Rawalpindi",Sri Lanka,Pakistan,Pakistan,Field,Pakistan won by 6 wickets,Mohammad Nawaz,"Ahsan Raza, Asif Yaqoob",Rashid Riaz,Reon King,114-10,114,10,19.1,13,0,8,5,0,56,6,Kamil Mishara 59(47),Mohammad Nawaz 3/17,3,5,"Pathum Nissanka, Kamil Mishara, Kusal Mendis, Kusal Perera, Janith Liyanage, Dasun Shanaka, Pavan Rathnayake, Wanindu Hasaranga, Dushmantha Chameera, Maheesh Theekshana, Eshan Malinga",Sanath Jayasuriya,118-4,118,4,18.4,2,0,0,2,0,32,6,Babar Azam 37(34),Pavan Rathnayake 2/11,10,2,"Sahibzada Farhan, Saim Ayub, Babar Azam, Salman Agha, Fakhar Zaman, Usman Khan, Mohammad Nawaz, Faheem Ashraf, Shaheen Afridi, Salman Mirza, Abrar Ahmed",Mike Hesson
